,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
81,0.0,1673.15,41.7,14.1,8.5,13.4,10.8,11.2,0.0,0.0,0.0,0.0,63.53,0.0,36.47,0.0,4960.0
82,0.0,1673.15,40.9,13.8,8.3,14.5,10.6,11.0,0.0,0.0,0.0,0.0,63.53,0.0,36.47,0.0,4665.0
83,1.0,1683.0,37.94,18.77,5.45,12.21,13.89,7.62,0.0,0.21,0.14,0.0,61.17,0.0,38.69,2.93,4755.0
84,0.0,1673.15,45.5,15.3,9.9,3.5,12.4,12.4,0.0,0.0,0.0,0.0,63.53,0.0,36.47,0.0,4637.0
85,1.0,1873.15,46.5,0.65,10.0,16.4,9.23,12.9,0.0,1.78,0.17,0.0,62.1,0.0,35.0,0.0,5000.0
86,2.0,1973.15,46.67,0.53,10.77,17.3,9.58,13.55,0.0,1.62,0.16,0.0,62.5,0.0,33.0,0.0,4800.0
87,1.0,1883.0,46.04,0.64,9.45,18.55,12.0,9.77,0.0,0.77,0.07,0.0,60.12,0.61,31.01,3.31,5337.0
88,0.0,1673.15,41.6,14.1,8.5,13.5,10.7,11.2,0.0,0.0,0.0,0.0,63.53,0.0,36.47,0.0,5027.0
89,1.5,1823.0,39.34,10.74,9.28,17.71,8.41,12.44,0.37,0.37,0.06,0.0,64.65,0.0,33.31,2.27,4551.0
90,1.5,1673.15,44.23,0.01,17.71,0.88,17.7,16.44,0.0,0.35,0.01,0.0,44.91,15.29,39.71,0.09,4970.2
91,1.5,1873.15,48.68,0.59,8.65,16.43,9.88,13.31,0.0,1.21,0.15,0.0,62.2,0.0,35.6,0.0,4900.0
92,1.5,1923.15,54.3,0.0,13.18,12.97,4.58,13.04,0.0,0.0,0.0,0.0,59.03,2.41,35.9,2.66,4921.0
93,5.5,2073.15,47.3,0.03,9.6,3.37,19.97,18.15,0.0,0.03,0.0,0.0,62.68,0.18,36.09,0.25,4408.8
94,2.0,1873.15,47.8,0.35,6.3,14.7,21.2,6.8,0.0,0.61,0.04,0.0,61.2,0.0,33.4,0.0,4380.0
95,1.0,1883.0,43.44,1.8,12.32,13.28,9.98,11.74,0.0,0.48,0.26,0.0,59.5,0.24,32.17,3.18,4896.0
96,1.5,1873.15,47.7,0.37,5.8,15.5,21.0,6.5,0.0,0.5,0.03,0.0,61.9,0.0,33.9,0.0,5220.0
97,1.0,1883.0,36.67,0.34,6.87,26.84,14.6,10.43,0.0,0.23,0.11,0.0,36.32,34.07,28.1,2.02,4458.0
98,1.0,1883.0,36.63,0.37,6.49,31.72,13.14,7.56,0.0,0.07,0.03,0.0,25.35,49.71,22.66,0.03,5223.0
99,1.0,1783.0,45.59,0.66,9.3,21.27,10.68,8.55,0.0,0.48,0.05,0.0,61.31,1.26,32.13,3.77,5028.0
100,1.0,1873.15,49.02,0.63,8.3,15.7,9.92,13.35,0.0,1.87,0.15,0.0,63.3,0.0,34.0,0.0,4700.0
101,1.0,1683.0,41.1,2.19,10.85,20.12,11.82,9.54,0.0,0.4,0.16,0.0,60.01,0.95,32.37,3.46,4416.0
102,1.0,1873.15,47.5,0.63,9.9,12.1,11.0,15.6,0.0,1.78,0.18,0.0,62.5,0.0,37.0,0.0,4700.0
103,11.0,2473.0,40.54,0.18,3.21,7.29,44.83,3.67,0.01,0.0,0.0,0.0,56.58,0.15,38.03,1.85,4897.0
104,1.5,1923.15,41.08,0.0,16.63,9.13,15.37,15.29,0.0,0.0,0.0,0.0,59.78,1.4,37.2,1.62,4563.33
105,1.5,1923.15,34.72,0.0,13.82,8.7,26.87,14.26,0.0,0.0,0.0,0.0,59.59,2.02,35.77,2.61,4844.95
106,1.5,1923.15,45.64,0.0,17.78,3.01,16.77,16.77,0.0,0.12,0.0,0.0,61.22,0.46,37.83,0.49,4672.98
107,0.0,1673.15,41.5,14.2,8.5,13.5,10.7,11.2,0.0,0.0,0.0,0.0,63.53,0.0,36.47,0.0,4900.0
108,2.0,1923.15,46.0,0.63,10.7,17.7,9.5,13.4,0.0,1.7,0.17,0.0,62.4,0.0,35.0,0.0,4600.0
109,1.0,1688.0,37.89,0.79,12.31,24.44,6.95,14.0,0.0,0.14,0.05,0.0,61.46,0.39,27.93,5.25,4992.0
110,1.5,1873.15,45.6,0.5,10.9,17.0,9.3,13.0,0.0,1.65,0.15,0.0,62.0,0.0,36.0,0.0,4800.0
111,1.0,1883.0,37.87,0.37,6.75,23.82,15.67,10.67,0.0,0.1,0.05,0.0,42.64,25.71,26.35,2.98,4749.0
112,1.5,1773.0,38.63,10.29,9.62,16.19,8.98,13.31,0.35,0.37,0.06,0.0,63.91,0.0,33.6,2.09,5316.0
113,1.0,1883.0,36.67,0.34,7.14,28.36,14.74,8.17,0.0,0.13,0.03,0.0,29.69,39.51,25.02,1.92,4613.0
114,2.5,1673.0,33.28,17.21,7.34,22.97,5.9,10.85,0.18,0.36,0.07,0.0,63.94,0.0,34.07,1.76,4570.0
115,2.5,1783.0,49.62,0.22,7.54,11.5,19.32,7.59,0.0,0.09,0.03,0.0,56.6,0.0,37.66,2.76,2106.0
116,0.0,1673.15,56.1,1.4,17.2,2.5,8.7,13.5,0.0,0.0,0.0,0.0,63.53,0.0,36.47,0.0,1883.0
117,1.5,1673.15,57.69,0.0,20.4,1.12,6.53,13.02,0.0,0.0,0.0,0.0,62.15,0.35,36.0,0.36,1800.0
118,0.0,1671.0,48.0,2.98,9.05,18.22,11.07,9.43,0.0,0.03,0.0,0.0,89.11,0.0,10.05,0.0,2077.5
119,2.7,1773.15,47.7,0.21,14.6,6.11,22.4,8.47,0.42,0.14,0.0,0.0,61.5,0.43,37.5,0.0,1740.0
120,3.5,2073.15,50.91,1.65,17.23,9.31,7.58,10.15,0.0,2.09,0.56,0.0,63.53,0.0,36.47,0.0,1875.0
121,0.0,1673.15,53.7,1.4,15.5,8.7,7.9,12.7,0.0,0.0,0.0,0.0,63.53,0.0,36.47,0.0,1904.0
122,1.5,1673.15,48.14,0.0,18.17,16.36,5.61,9.39,0.0,0.0,0.0,0.0,62.52,0.32,33.24,3.06,2400.0
123,2.0,1653.15,45.93,3.73,11.67,17.01,4.23,8.81,0.0,2.4,1.28,1.03,63.53,0.0,36.47,0.0,1900.0
124,1.5,1673.15,50.7,0.66,12.54,3.27,19.75,10.0,0.0,0.81,0.0,0.0,50.27,12.14,37.16,0.34,2121.17
125,1.0,1833.0,53.59,7.02,12.57,6.55,5.1,11.89,0.0,0.08,0.08,0.0,58.9,0.0,34.61,1.57,2417.0
126,0.0,1673.15,55.7,2.4,14.3,9.3,8.9,9.7,0.0,0.0,0.0,0.0,63.53,0.0,36.47,0.0,1737.0
127,5.5,2073.15,49.72,0.77,13.4,7.51,11.16,12.63,0.0,2.07,0.0,0.0,62.29,0.66,35.33,0.56,2112.94
128,1.0,1723.15,50.3,0.36,11.1,9.86,16.8,10.4,0.11,0.27,0.05,0.0,61.2,0.93,36.7,0.0,1990.0
129,0.0,1671.0,47.29,3.0,9.08,17.95,11.07,9.4,0.0,0.14,0.0,0.0,88.39,0.0,10.3,0.0,2045.16
130,1.5,1673.15,41.46,0.0,16.47,7.19,14.98,15.12,0.0,0.0,0.0,0.0,57.71,2.93,37.84,1.52,2402.2
131,1.5,1773.15,39.28,0.0,15.0,11.59,15.05,14.12,0.0,0.0,0.0,0.0,61.26,1.13,33.4,3.18,2400.0
132,1.5,1673.15,50.3,0.73,13.38,7.42,15.56,10.74,0.0,1.32,0.0,0.0,60.96,0.66,36.98,0.73,1950.75
133,0.0,1673.15,54.0,2.3,13.9,11.4,8.5,9.3,0.0,0.0,0.0,0.0,63.53,0.0,36.47,0.0,2220.0
134,1.5,2073.15,47.51,0.02,17.03,0.01,12.89,20.28,0.0,0.09,0.0,0.0,0.07,74.12,21.94,0.0,2003.4
135,1.5,1773.15,41.12,0.0,15.95,7.51,15.51,14.91,0.0,0.0,0.0,0.0,60.5,1.16,35.46,1.98,2500.0
136,1.0,1673.0,53.1,1.05,18.9,8.77,3.43,7.9,0.0,3.98,0.97,0.0,61.7,0.49,34.4,1.77,1968.0
137,1.5,1673.15,45.44,0.73,14.02,13.8,9.06,10.97,0.0,1.7,0.0,0.0,50.82,14.38,31.7,3.11,2020.79
138,1.4,1773.15,49.2,0.29,9.77,14.0,17.8,8.16,0.17,0.09,0.04,0.0,64.4,1.37,32.7,0.0,2390.0
139,0.0,1670.0,49.05,3.07,9.13,16.82,11.1,9.58,0.0,0.03,0.0,0.0,85.74,0.0,14.21,0.0,2023.58
140,1.0,1673.0,50.6,1.27,15.5,8.37,9.33,11.4,0.0,2.47,0.0,0.0,63.53,0.0,36.47,0.0,1752.0
141,0.0,1678.0,48.32,2.9,8.99,18.4,10.92,9.46,0.0,0.02,0.0,0.0,90.22,0.0,9.8,0.0,2252.37
142,1.5,1673.15,46.52,0.61,15.3,6.67,12.79,12.18,0.0,2.06,0.17,0.0,55.52,6.95,36.09,0.6,2191.75
143,1.0,1723.15,53.0,0.34,10.8,7.78,17.9,10.1,0.27,0.04,0.04,0.0,62.2,0.76,35.7,0.0,1730.0
144,1.5,1673.15,47.16,0.74,13.86,12.55,9.65,11.47,0.0,1.78,0.0,0.0,53.77,11.41,32.02,2.81,2275.12
