Pressure,T,SiO2,TiO2,Al2O3,FeO,MgO,CaO,NiO,Na2O,K2O,H2O,Fe,Ni+Cu+Co,S,O,SCSS measurement
1,1883,64.19572632,0.300379632,10.93928947,10.76814737,0.939628526,2.803074737,0,0.613383316,5.807076842,0,61.88568889,0.520196222,31.35031111,2.575642452,2285
1,1783,58.67214375,0.287126656,10.11591406,16.40357813,1.564755938,3.305595938,0,0.572799844,5.454793438,0,62.07472047,2.556856354,29.86810688,3.772746,3097
1,1683,55.3433973,0.236818865,9.601489189,18.05588378,1.514807027,3.590021081,0,0.628568432,5.280252162,0,62.70342509,0.316190226,29.65178717,5.022697429,4144
1,1533,62.68102115,0.301880654,11.10894385,12.75303269,0.702578154,3.372508269,0,0.603606808,5.457414423,0,60.86854765,0.317566216,30.39839333,4.431010323,2460
1,1583,42.82950968,2.485246774,11.42227419,21.06289677,8.756996452,10.07606548,0,0.491918742,0.233629871,0,62.06210952,0.258379905,31.58680476,5.05029543,3511
1,1523,51.28,0.89,17.13,7.13,7.19,10.69,0,2.58,0.83,0,64.65,0.03,36.75,1.14,1398
1,1523,50.99,0.71,16.85,8.51,7.08,10.35,0,2.51,0.84,0,58.92,4.75,35.31,1.37,1328
1,1523,49.6,1.11,17.33,6.88,7.23,10.57,0,2.53,0.8,0,50.48,14.26,33.02,2.16,1137
1,1523,50.34,1.09,17.29,5.92,7.21,10.51,0,2.54,0.8,0,62.67101104,0,35.90818896,1.4208,1069
1,1523,52.68,1.09,16.88,6.95,7.41,10.52,0,2.53,0.81,0,62.51385544,0,35.81814456,1.668,1083
1,1523,51.53,0.73,16.87,6.81,7.04,10.46,0,2.5,0.79,0,62.53521639,0,35.83038361,1.6344,1020
1,1523,52.64,0.75,17.43,5.82,7.21,10.48,0,2.6,0.82,0,62.68626887,0,35.91693113,1.3968,776
1,1523,55.02,1.02,17.54,1.81,8.21,10.85,0,2.69,0.99,0,7.29,63.57,29.29,1.45,457
1,1523,51.98,1.16,17.26,8.52,7.17,10.52,0,2.51,0.84,4.96,51.53,13.25,33.45,2.23,1523
1,1523,51.94,1.2,17.74,6.34,7.57,10.96,0,2.58,0.88,3.21,51.91,11.55,36.23,0.82,1402
1,1523,51.83,0.99,17.37,7.08,7.27,10.46,0,2.48,0.73,2.72,50.39,11.72,36.46,0.94,1355
1,1523,52.16,1.12,17.37,6.12,7.61,10.47,0,2.79,0.99,1.7,62.64049539,0,35.89070461,1.4688,1255
1,1523,52.78,1.2,16.91,6.49,7.35,10.53,0,2.52,0.81,1.21,50.65,12.08,33.74,2.09,1151
1,1523,52.73,1.1,17.33,5.9,7.2,10.51,0,2.55,0.79,0,48.64,13.76,35.34,1.26,1053
1,1673,47.1,2.8,8.9,20.1,11.1,9.2,0,0.242022667,0,0,90.9553,0,9.466399214,0,1189.635
1,1673,48.14857279,2.653599214,8.9458015,18.4469025,10.94591379,9.218649857,0,0.234083,0,0,88.2944686,0,12.5346278,0,1471.84
0.0001,1672,51.5,3,9.6,12.5,11.8,10,0,0.126315143,0,0,91.05436929,0,8.672308286,0,1433
0.0001,1671,47.28725288,3.00354225,9.0767035,17.95347563,11.07424125,9.40344875,0,0.142935889,0,0,88.39208757,0,10.29871543,0,2045.16073
0.0001,1671,43.4357975,2.7169425,8.2559745,26.4872221,9.9307262,8.5363148,0,0.0155651,0,0,90.38896946,0,10.03340354,0,3718.739315
0.0001,1671,51.32268064,3.176809818,9.669579091,12.65386027,11.87203673,9.970445545,0,0.0187608,0,0,91.03806308,0,9.352747667,0,1367.124099
0.0001,1671,50.65513312,3.039635294,9.569696118,14.60129835,11.71574947,9.914246941,0,0.0122301,0,0,89.80086938,0,10.27585892,0,1582.719103
0.0001,1671,48.00210991,2.977554,9.050379636,18.223456,11.07033245,9.431305364,0,0.032611125,0,0,89.114186,0,10.053961,0,2077.497354
0.0001,1671,50.555341,3.055483375,9.441149813,15.39591075,11.57848631,9.90941975,0,0.03896975,0,0,89.58534308,0,10.84085708,0,1817.690139
0.0001,1670,49.0533092,3.0708328,9.1322385,16.8189341,11.1017652,9.5790602,0,0.0260876,0,0,85.7404258,0,14.2107305,0,2023.575584
0.0001,1678,48.3200891,2.8954546,8.9906427,18.3998608,10.9179228,9.4574223,0,0.0186281,0,0,90.22011706,0,9.799909938,0,2252.370438
1,1673,48.5076446,2.94734695,9.2267501,18.56123255,11.31708135,9.54540355,0,0.2443632,0,0,87.25944679,0,10.43636684,0.002747895,1695.858793
1,1673,49.43868385,2.86310625,9.3804766,16.2005387,11.45381555,9.74879155,0,0.260553,0,0,60.549745,0,36.56968873,2.689356727,3598.568684
1,1673,45.40744084,2.636063263,8.754803263,23.71274726,10.54658347,8.820875842,0,0.231087632,0,0,85.20253807,0,12.32730186,0,1635.581016
1,1673,46.52637747,2.782744263,9.917435684,20.21780316,10.79496089,9.208993947,0,0.262308947,0,0,64.656034,0,34.38614413,1.855089,3314.053882
1,1673,45.5803,2.7543,8.554,21.35995,11.19265,9.13235,0,0,0,0,66.729,0,30.797875,1.813625,2300.076833
0.0001,1473,44.60875,2.9692,9.06225,24.14195,8.2063,9.87175,0,0.14925,0,0,67.1,0,31.0755,1.2236,3211.005621
0.0001,1573,42.22708696,2.54673913,7.818521739,27.76152174,10.23017391,8.505956522,0,0.099826087,0,0,66.473,0,31.46723077,1.848846154,4584.103987
1.5,1673.15,44.23124,0.01375,17.70595,0.8777,17.69588,16.43505,0,0.34949,0.009034483,0,44.9051913,15.2907,39.71459565,0.089513043,4970.2
1.5,1673.15,54.83328788,0.401312121,7.782763636,5.066848485,12.92979394,15.33486364,0,0.328984848,0.105290909,0,52.0427375,11.42739688,35.9703375,0.559528125,1443.042424
1.5,1673.15,57.16220303,0,12.05313939,5.562757576,10.54899394,12.1070303,0,0,0,0,42.98469524,16.13410476,40.6629381,0.218261905,2178.921212
1.5,1673.15,58.61777576,0,11.27285758,4.575133333,11.62464848,11.98585152,0,0,0,0,31.39443103,35.99312759,32.1926931,0.419748276,618.1090909
1.5,1673.15,55.86016857,0,9.51812,4.131537143,10.77150857,15.97840571,0,0,0,0,13.40359722,58.274525,28.06307778,0.2588,325.2685714
