0.50	1523.00	49.40	1.69	17.00	8.40	6.41	10.90	0.00	3.38	1.78	0.00	63.53	0.00	36.47	0.00	1386.00
1.00	1523.00	48.00	1.65	16.80	10.00	6.25	10.70	0.00	3.31	1.82	0.00	63.53	0.00	36.47	0.00	1378.00
1.00	1523.00	47.70	1.64	16.80	9.63	6.24	10.50	0.00	3.32	1.80	0.00	63.53	0.00	36.47	0.00	1378.00
1.00	1523.00	47.30	1.64	16.70	9.75	6.01	10.40	0.00	3.29	1.84	2.80	63.53	0.00	36.47	0.00	1231.00
1.00	1623.00	48.00	1.66	16.60	10.20	6.21	10.40	0.00	3.10	1.78	0.00	63.53	0.00	36.47	0.00	1539.00
1.00	1523.00	50.00	1.28	16.10	9.90	8.48	11.00	0.00	2.59	0.00	0.00	63.53	0.00	36.47	0.00	1214.00
2.40	1773.15	50.00	0.21	9.66	5.92	22.60	10.80	0.29	0.24	0.00	0.00	62.30	0.37	36.70	0.00	1610.00
1.00	1623.15	44.70	0.00	16.20	11.90	8.08	16.80	0.03	0.00	0.00	0.00	60.70	1.56	36.80	0.00	1690.00
1.00	1723.15	51.70	0.56	13.50	7.93	13.80	8.15	0.02	3.17	0.77	0.00	60.80	0.41	36.20	0.00	1500.00
0.00	1473.15	51.67	6.09	9.57	5.89	9.76	12.15	0.00	1.79	1.13	0.00	59.82	1.85	36.83	0.00	1284.00
0.00	1473.15	50.86	6.33	10.39	4.76	11.02	12.77	0.00	1.09	0.58	0.00	59.12	1.52	38.14	0.00	1256.00
0.00	1473.15	50.37	5.59	9.34	8.18	9.82	12.03	0.00	1.49	0.99	0.00	60.32	1.99	36.69	0.00	1615.00
1.00	1523.00	49.90	1.38	16.60	10.50	7.80	10.80	0.00	2.71	0.12	0.90	63.53	0.00	36.47	0.00	1180.00
1.00	1523.00	49.80	1.31	15.80	10.10	8.60	11.20	0.00	2.48	0.09	0.70	63.53	0.00	36.47	0.00	1246.00
1.00	1523.00	50.20	1.26	15.40	9.00	9.10	11.50	0.00	2.39	0.10	2.60	63.53	0.00	36.47	0.00	1248.00
1.00	1523.00	48.90	1.31	14.00	9.60	8.80	11.30	0.00	2.32	0.09	2.80	63.53	0.00	36.47	0.00	1409.00
1.00	1523.00	49.70	1.41	16.10	10.30	7.80	10.80	0.00	2.65	0.10	0.00	63.53	0.00	36.47	0.00	1218.00
1.00	1523.00	58.50	0.78	15.40	7.70	1.90	5.41	0.00	3.74	1.92	4.10	63.53	0.00	36.47	0.00	1094.00
1.00	1523.00	58.30	0.82	15.40	7.70	1.88	5.40	0.00	3.65	1.87	4.60	63.53	0.00	36.47	0.00	1167.00
1.00	1523.00	58.00	0.79	15.30	7.70	1.88	5.40	0.00	3.52	1.73	7.30	63.53	0.00	36.47	0.00	1265.00
1.60	1628.15	47.40	0.73	18.10	8.60	11.20	11.00	0.03	2.40	0.00	0.00	63.53	0.00	36.47	0.00	1400.00
1.60	1628.15	47.90	0.68	18.20	7.00	12.10	11.40	0.05	2.30	0.00	0.00	63.53	0.00	36.47	0.00	1300.00
